,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,label,label,label,label,label,label,label,label
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
LOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,226406.0,0.4496356248855591,0.323527455329895,1.957702261279337e-05,0.14457643404603004,0.39253851771354675,0.7932872176170349,0.9979021549224854,226406.0,0.24037230014801025,0.2217884361743927,1.7969548935070634e-05,0.06426264718174934,0.16204513609409332,0.3631027862429619,0.9971116781234741,226406.0,0.30999210476875305,0.26492345333099365,0.00022904164507053792,0.08938853815197945,0.2323569506406784,0.45826588571071625,0.9998743534088135,226406.0,0.3853563951485385,0.48668048042944,0.0,0.0,0.0,1.0,1.0
2,58361.0,0.25789934396743774,0.26051583886146545,1.1130985512863845e-05,0.04992348700761795,0.16286474466323853,0.3872512876987457,0.9981862902641296,58361.0,0.23870091140270233,0.2513858675956726,1.0988175745296758e-05,0.03785622864961624,0.14129267632961273,0.3682575523853302,0.9999390840530396,58361.0,0.5033997297286987,0.33032411336898804,3.0657622119178995e-05,0.17043641209602356,0.5269677639007568,0.810018002986908,0.9996199607849121,58361.0,0.31755795822552735,0.4655304660365374,0.0,0.0,0.0,1.0,1.0
3,49086.0,0.25836431980133057,0.2508705258369446,9.380863048136234e-06,0.05992284044623375,0.17257414013147354,0.38440728932619095,0.9996564388275146,49086.0,0.216649129986763,0.24949727952480316,3.5490354548528558e-06,0.026013558264821768,0.11492957174777985,0.3200001195073128,0.9999681711196899,49086.0,0.5249865651130676,0.3196740448474884,8.756471288506873e-06,0.21247993409633636,0.5609166622161865,0.8189494460821152,0.999738872051239,49086.0,0.4131727987613576,0.4924083434922426,0.0,0.0,0.0,1.0,1.0
4,44711.0,0.2368573695421219,0.23904184997081757,9.48619344853796e-06,0.05965103395283222,0.14613017439842224,0.3426516056060791,0.9993982315063477,44711.0,0.1954936385154724,0.23371019959449768,6.988159384491155e-06,0.024992065504193306,0.10051494091749191,0.27813582122325897,0.9999463558197021,44711.0,0.5676490068435669,0.30553168058395386,1.1269911738054361e-05,0.31815357506275177,0.6103854179382324,0.848375141620636,0.999679684638977,44711.0,0.5375410972691284,0.49859424995120577,0.0,0.0,1.0,1.0,1.0
5,45216.0,0.23051978647708893,0.23397000133991241,7.84268049756065e-05,0.06252795830368996,0.14589447528123856,0.3161095157265663,0.9991362690925598,45216.0,0.20499171316623688,0.22099754214286804,4.865295522904489e-06,0.03847888298332691,0.1278851106762886,0.29354138672351837,0.9996323585510254,45216.0,0.5644885301589966,0.2935026288032532,0.00017791817663237453,0.33226609230041504,0.6045567989349365,0.8216513842344284,0.9997988343238831,45216.0,0.622456652512385,0.4847778519510956,0.0,0.0,1.0,1.0,1.0
6,32124.0,0.23473906517028809,0.25106364488601685,5.259965473669581e-05,0.050531044602394104,0.13892782479524612,0.3237820938229561,0.9991872906684875,32124.0,0.2305832952260971,0.24453184008598328,7.92021910456242e-06,0.03833430167287588,0.14429810643196106,0.3459818512201309,0.9997093081474304,32124.0,0.5346776247024536,0.3109397888183594,0.0001064934185706079,0.2631208151578903,0.5587186813354492,0.8175940662622452,0.9998267292976379,32124.0,0.5511455609513136,0.4973849944939852,0.0,0.0,1.0,1.0,1.0
7,29606.0,0.22822624444961548,0.25215068459510803,1.8341899703955278e-05,0.04439536761492491,0.12770802527666092,0.3146148696541786,0.9985312223434448,29606.0,0.24183198809623718,0.24829554557800293,1.8286315025761724e-05,0.04377027601003647,0.1540479212999344,0.37085267901420593,0.9996434450149536,29606.0,0.5299417972564697,0.3202347457408905,0.00016358141147065908,0.23817186430096626,0.5572179555892944,0.8266854882240295,0.9999054670333862,29606.0,0.5616091332837938,0.496198177147571,0.0,0.0,1.0,1.0,1.0
8,22190.0,0.24472492933273315,0.256631463766098,2.428618972771801e-05,0.048378597013652325,0.14978914707899094,0.3460830897092819,0.9985643029212952,22190.0,0.30539625883102417,0.2702096998691559,1.820291618059855e-05,0.07592035084962845,0.23079493641853333,0.4787864238023758,0.9998836517333984,22190.0,0.4498788118362427,0.3179514706134796,9.203868103213608e-05,0.15106332674622536,0.4118504822254181,0.738784670829773,0.9995710253715515,22190.0,0.4182063992789545,0.4932755540421306,0.0,0.0,0.0,1.0,1.0
