"Name","Commit","Runtime","GitHub","Group","Notes","Tags","fold","model","seed","lr","test_acc","test_auc","test_f1","test_loss","test_precision","test_recall","train_loss","valid_acc","valid_auc","valid_f1","valid_loss","valid_precision","valid_recall"
"ctmp_gin_opt_seed_1","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","ctmp_gin","-","","","","","0.0000020000545669733313","0.8836310891544118","0.9549282832387448","0.8687907852905775","0.2728699369720535","0.8702045759266468","0.8673815810745271","0.22919413826227497","0.8832959941789216","0.953937670670729","0.8682422755351864","0.2764014970644074","0.8708449879659143","0.8656550743067755"
"ctmp_gin_opt_seed_2","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","ctmp_gin","-","","","","","0.0000020000545669733313","0.8840810738357843","0.9543988901913242","0.8688734979882926","0.27395494066434145","0.8732950896404585","0.8644964548177841","0.23287461697505576","0.8846220128676471","0.9549033788203668","0.8695694525618547","0.27239014623437835","0.8733314491934432","0.8658397275627209"
"ctmp_gin_opt_seed_3","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","ctmp_gin","-","","","","","0.0000020000545669733313","0.8839231004901961","0.9547526560355906","0.8689155584387501","0.27302997018319536","0.8717431391691073","0.8661062614505873","0.23270275143532484","0.8844209558823529","0.954594566191908","0.8692700042233845","0.27372314132580905","0.8736694312022465","0.8649146625290923"
"gin_opt_seed_1","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","gin","-","","","","","0.00001277545409338495","0.8821518841911765","0.9537307081056478","0.8664214090376351","0.2738513016312773","0.8724524920501361","0.8604731368216846","0.2481069086289616","0.8819939108455882","0.9530058363661312","0.8661530191721913","0.2764355255233923","0.8728305355540479","0.8595768986216336"
"gin_opt_seed_2","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","gin","-","","","","","0.00001277545409338495","0.8817354090073529","0.9530839134269752","0.8660271253721469","0.2757110876255929","0.8717044573749195","0.860423266739941","0.25219833328336005","0.8822811351102942","0.9536518587938202","0.8667392824047732","0.27413834229846545","0.87170403636324","0.8618307612725234"
"gin_opt_seed_3","97773af4cc586426650dbf7372082be82b61b90f","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/97773af4cc586426650dbf7372082be82b61b90f","gin","-","","","","","1.277545409338495e-7","0.8817258348651961","0.9536813959076126","0.8658664364783357","0.27399729193418393","0.8724167733324582","0.859413729927794","0.2529442595625619","0.8811274509803921","0.9532669745584336","0.8650933350718213","0.2750468737473023","0.8724304185842647","0.8578786311524869"
"a3tgcn_2_points_opt_seed_1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points","-","","","","","0.00002149225458233667","0.879672181372549","0.952401312387884","0.8637570869513371","0.28026211184964356","0.8688242157258285","0.8587487201595085","0.23090220485464197","0.8797104779411765","0.9518393253806252","0.8635712113972983","0.282175901465491","0.87017605287057","0.8570658792339775"
"a3tgcn_2_points_opt_seed_2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points","-","","","","","0.0000021492254582336675","0.8805577895220589","0.9524242183861988","0.8646137985295315","0.2804549806654069","0.8707988589290984","0.8585159802590462","0.2296589478288824","0.8819651884191176","0.9532199544137058","0.8662613157452256","0.2780316690375965","0.872017472017472","0.8605806535046124"
"a3tgcn_2_points_opt_seed_3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","a3tgcn_2_points","-","","","","","0.00002149225458233667","0.8813045726102942","0.953047416803298","0.8656250508072252","0.28023560876688935","0.8706217091277758","0.8606854186873586","0.2231507023758312","0.8813572303921569","0.9526368739834354","0.8657130472475076","0.28156512279057283","0.8706949167320603","0.8607878631152487"
"ctmp_gin_seed1_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","0","ctmp_gin","1","0.0000020000545669733313","0.8828890931372549","0.9538889266173936","0.8674784945071613","0.2759960524671175","0.8721082211475624","0.862897663591689","0.23129395389078344","0.882956081081081","0.9535983128706722","0.8673913667550214","0.2770872798859867","0.8730976690425737","0.8617591694712224"
"ctmp_gin_seed1_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","1","ctmp_gin","1","0.0000020000545669733313","0.8835257735906863","0.954428900806084","0.8682453470804521","0.2730993830096993","0.8725687604079367","0.8639645659108544","0.23648247563483965","0.8833403716216216","0.9544447452270556","0.8680634823599085","0.27318446872119706","0.8722166769041769","0.8639496525302075"
"ctmp_gin_seed1_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","2","ctmp_gin","1","0.0000020000545669733313","0.8819891237745098","0.9534602301017844","0.8670162264802348","0.277226087053671","0.8679901494858723","0.8660444865936718","0.23125327443787924","0.8828462837837838","0.9535201140954112","0.8679065603900618","0.27707132550723784","0.8694217083547975","0.8663966841584911"
"ctmp_gin_seed1_fold3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","3","ctmp_gin","1","0.0000020000545669733313","0.8833534390318627","0.9543113486762662","0.8679445699947431","0.2733461162373723","0.8729736506448342","0.8629731011294077","0.23740608102615024","0.8839273648648649","0.9545506908693364","0.8686602253504975","0.272856368375054","0.8732502618002248","0.8641181895101105"
"ctmp_gin_seed1_fold4","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","4","ctmp_gin","1","0.0000020000545669733313","0.8827981387867647","0.9538646986545152","0.8672727568429098","0.2752470175299801","0.8725850614711625","0.8620247435123718","0.2348530089853157","0.8826097972972973","0.9536523414133992","0.8669773941006451","0.27618818950684865","0.8727996223106494","0.8612323284180904"
"ctmp_gin_seed2_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","4","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","0","ctmp_gin","2","0.0000020000545669733313","0.8824582567401961","0.9537806682094728","0.8669621377950196","0.2752995355470097","0.8718180629413304","0.862160006896849","0.235714425796832","0.8831418918918919","0.9542175078186445","0.8677714384013303","0.2740356054642587","0.8723819222935322","0.8632094305542352"
"ctmp_gin_seed2_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","1","ctmp_gin","2","0.0000020000545669733313","0.8826832490808824","0.953793745202864","0.867293727764511","0.27485599910289843","0.8716408163265306","0.8629897840424157","0.2399564943151909","0.8835472972972973","0.954330253707694","0.8681608689831902","0.27315350103248726","0.8732039469887861","0.8631757077938129"
"ctmp_gin_seed2_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","2","ctmp_gin","2","0.0000020000545669733313","0.8820226332720589","0.9536943545674677","0.8662509565132447","0.2753645355287214","0.8725441962675063","0.8600478468899522","0.23851466913001168","0.8825422297297297","0.9538271159393396","0.867056056898134","0.2752107601479876","0.871907023244189","0.8622587698450423"
