,Name,Commit,Runtime,GitHub,Group,Notes,Tags,fold,model,seed,lr,test_acc,test_auc,test_f1,test_loss,test_precision,test_recall,train_loss,valid_acc,valid_auc,valid_f1,valid_loss,valid_precision,valid_recall
98,fully_connected_ctmp_gin_seed2_fold1,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,fully_connected_ctmp_gin_kfold,-,,1.0,fully_connected_ctmp_gin,2.0,0.0002000054566973,0.8818215762867647,0.9534302245756756,0.8670590579378457,0.2763321954084513,0.8665597451104916,0.8675589465063149,0.2498501276496927,0.8824493243243243,0.953908800299236,0.8676001940620809,0.2748581684985118,0.8681369936034116,0.8670640579544806
99,fully_connected_ctmp_gin_seed2_fold2,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,1,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,fully_connected_ctmp_gin_kfold,-,,2.0,fully_connected_ctmp_gin,2.0,2.0000545669e-06,0.8835544960171569,0.9543081832713616,0.8684957426679281,0.274831300041263,0.8714023801516615,0.8656084313979051,0.2309030074721876,0.8844172297297297,0.9545674921032354,0.8695623165198826,0.2741702417904561,0.8718392232564363,0.8672972716037646
100,fully_connected_ctmp_gin_seed2_fold3,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,fully_connected_ctmp_gin_kfold,-,,3.0,fully_connected_ctmp_gin,2.0,2.0000545669e-06,0.8828843060661765,0.9538472874417387,0.8676859508601901,0.2765156838773963,0.8709407741164975,0.8644553644553644,0.2294525150653117,0.8837204391891892,0.9542984975441772,0.8688615938543309,0.2754029248930045,0.8705407417304499,0.8671889111772367
101,fully_connected_ctmp_gin_seed2_fold4,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,fully_connected_ctmp_gin_kfold,-,,4.0,fully_connected_ctmp_gin,2.0,2.0000545669e-06,0.8830853630514706,0.9541156845247012,0.8682622133760538,0.2747666566824229,0.8692046006803823,0.8673218673218673,0.2331265745434234,0.8833741554054054,0.9542371657952008,0.8685724619404086,0.2748507620504113,0.8696443546542655,0.867503208327392
102,no_gate_ctmp_gin_seed1_fold0,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,0.0,no_gate_ctmp_gin,1.0,2.0000545669e-06,0.8808210784313726,0.9527482806354906,0.8656695479512664,0.2820822561403595,0.8668388407425818,0.8645034054659885,0.2247817860914989,0.8818792229729729,0.9522951181008162,0.8666606283935492,0.2845041788599545,0.8691424364404754,0.8641929534348678
103,no_gate_ctmp_gin_seed1_fold1,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,1,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,1.0,no_gate_ctmp_gin,1.0,2.0000545669e-06,0.8814721200980392,0.9528404198139409,0.8662994762136185,0.2818867074337999,0.8681464966774173,0.8644602983015777,0.2241946938115551,0.8823986486486487,0.9527085160434596,0.867240014874,0.282456514670419,0.869794306369713,0.8647006816302085
104,no_gate_ctmp_gin_seed1_fold2,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,2.0,no_gate_ctmp_gin,1.0,2.0000545669e-06,0.8806966145833334,0.9521787127828982,0.8658000732332479,0.2852130754375886,0.8652223513711309,0.866378567117855,0.2215509304639775,0.8816511824324325,0.9520642704304746,0.86678423561959,0.2855901887746668,0.8668295604719484,0.8667389155068826
105,no_gate_ctmp_gin_seed1_fold3,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,1,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,3.0,no_gate_ctmp_gin,1.0,2.0000545669e-06,0.8820513556985294,0.9533743618064952,0.8670712956219147,0.2778817250875098,0.8681438587772652,0.8660013794292611,0.2322675557291626,0.8833952702702703,0.9538806819732488,0.8685893774985722,0.2763205718295593,0.8696406278291863,0.8675406656716134
106,no_gate_ctmp_gin_seed1_fold4,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,4.0,no_gate_ctmp_gin,1.0,2.0000545669e-06,0.8805194929534313,0.9522975196091412,0.8655668126316243,0.2851928273577399,0.8652079811347166,0.8659259418915424,0.2205260003389702,0.8820143581081081,0.952151994102049,0.8670868913679504,0.2855079900907418,0.867751518729409,0.8664232813287318
107,no_gate_ctmp_gin_seed2_fold0,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,0.0,no_gate_ctmp_gin,2.0,2.0000545669e-06,0.8823337928921569,0.9533951768243896,0.8672169581987316,0.2782048584629689,0.8694620767347646,0.8649834044570887,0.2262981082598899,0.8839695945945946,0.954319947704054,0.8691494428040766,0.2754217254121813,0.870808283233133,0.8674969103526952
108,no_gate_ctmp_gin_seed2_fold1,e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,2,https://github.com/loveiscomplicated/CTMP_GIN/tree/e6e0e2c6fb1df16c294f97bb138b3abe8eeb73bd,no_gate_ctmp_gin_kfold,-,,1.0,no_gate_ctmp_gin,2.0,2.0000545669e-06,0.8827933517156863,0.9537511486394596,0.8678711738548547,0.2774965018641796,0.8692221213300472,0.8665244191559981,0.2244379982164847,0.8833108108108109,0.954203731329746,0.8681767439197764,0.276273066439296,0.8713276132837936,0.8650485806095868
